time,tavg,date
1812.0416666666667,-1.6275665,1812-01-15
1812.125,-2.8356905,1812-02-15
1812.2083333333333,-3.0832415,1812-02-15
1812.2916666666667,-2.577954,1812-04-15
1812.375,-2.0196104,1812-05-15
1812.4583333333333,-1.4568805,1812-05-15
1812.5416666666667,-0.23206021,1812-07-15
1812.625,1.1403179,1812-08-15
1812.7083333333333,-1.674452,1812-08-15
1812.7916666666667,-1.5214351,1812-10-15
1812.875,-2.1645167,1812-11-15
1812.9583333333333,-3.1866913,1812-11-15
